0     aatrox               a               b                                        c                    d
48    agreement            temp_word_type  hiệp định, hiệp nghị                     temp_pronunciation   temp_word_example
49    aid                  temp_word_type  sự giúp đỡ, sự viện trợ; cứu trợ         temp_pronunciation   temp_word_example
50    air                  temp_word_type  bầu không khí, không khí                 temp_pronunciation   temp_word_example
51    aisle                temp_word_type  cánh, gian bên trong                     temp_pronunciation   temp_word_example
52    alarm                temp_word_type  sự báo động, sự báo nguy                 temp_pronunciation   temp_word_example
53    album                temp_word_type  tập ảnh, quyển album                     temp_pronunciation   temp_word_example
54    alien                temp_word_type  xa lạ                                    temp_pronunciation   temp_word_example
55    alike                temp_word_type  tương tự, giống nhau, như nhau           temp_pronunciation   temp_word_example
56    all rounder          temp_word_type  người toàn diện, toàn năng               temp_pronunciation   temp_word_example
57    alliance             temp_word_type  sự liên minh, khối liên minh             temp_pronunciation   temp_word_example
58    allow                temp_word_type  cho phép, để cho                         temp_pronunciation   temp_word_example
59    allure               temp_word_type  sức quyến rũ; cám dỗ                     temp_pronunciation   temp_word_example
60    ally                 temp_word_type  nước đồng minh, liên kết, liên minh      temp_pronunciation   temp_word_example
61    alone                temp_word_type  một mình, trơ trọi, cô đơn, đơn độc      temp_pronunciation   temp_word_example
62    alteration           temp_word_type  sự thay đổi, điều chỉnh                  temp_pronunciation   temp_word_example
63    alternative          temp_word_type  xen nhau; thay đổi nhau, thay phiên nhau temp_pronunciation   temp_word_example
64    always               temp_word_type  luôn luôn, mọi lúc                       temp_pronunciation   temp_word_example
65    amateur              temp_word_type  người nghiệp dư; có tính chất nghiệp dư  temp_pronunciation   temp_word_example
66    amaze                temp_word_type  làm kinh ngạc, làm sửng sốt              temp_pronunciation   temp_word_example
67    ambassador           temp_word_type  đại sứ                                   temp_pronunciation   temp_word_example
68    ambience             temp_word_type  môi trường, không khí ở một địa điểm     temp_pronunciation   temp_word_example
69    ambition             temp_word_type  đam mê, khát vọng, tham vọng             temp_pronunciation   temp_word_example
70    ambitious            temp_word_type  có nhiều khát vọng, tham vọng            temp_pronunciation   temp_word_example
71    ambulance            temp_word_type  xe cứu thương, xe cấp cứu                temp_pronunciation   temp_word_example
72    amiable              temp_word_type  đáng mến, dễ thương                      temp_pronunciation   temp_word_example
73    amicable             temp_word_type  thân ái, thân mật, thân tình             temp_pronunciation   temp_word_example
74    amount               temp_word_type  số lượng, lượng; cộng dồn lên đến        temp_pronunciation   temp_word_example
75    ample                temp_word_type  phong phú, nhiều                         temp_pronunciation   temp_word_example
76    amusing              temp_word_type  có tính giải trí, buồn cười              temp_pronunciation   temp_word_example
77    angelic              temp_word_type  tốt bụng, thánh thiện như thiên thần     temp_pronunciation   temp_word_example
78    angry                temp_word_type  cáu giận, tức giận                       temp_pronunciation   temp_word_example
79    anguish              temp_word_type  nỗi đau đớn, khổ não                     temp_pronunciation   temp_word_example
80    anniversary          temp_word_type  ngày kỷ niệm; lễ kỷ niệm                 temp_pronunciation   temp_word_example
81    annoy                temp_word_type  quấy rầy, làm phiền                      temp_pronunciation   temp_word_example
82    annual               temp_word_type  hàng năm, từng năm                       temp_pronunciation   temp_word_example
83    anonymous            temp_word_type  giấu tên, ẩn danh, nặc danh              temp_pronunciation   temp_word_example
84    answer               temp_word_type  câu trả lời; hồi đáp, trả lời            temp_pronunciation   temp_word_example
85    antiquated           temp_word_type  cổ xưa, cũ kỹ, không hợp thời            temp_pronunciation   temp_word_example
86    antique              temp_word_type  cổ, cổ xưa, theo lối cổ                  temp_pronunciation   temp_word_example
87    anxiety              temp_word_type  mối lo, mối lo âu, mối băn khoăn; sự lo lắng temp_pronunciation   temp_word_example
88    anxious              temp_word_type  lo âu, băn khoăn                         temp_pronunciation   temp_word_example
89    anyhow               temp_word_type  thế nào cũng được, cách nào cũng được    temp_pronunciation   temp_word_example
90    apart                temp_word_type  về một bên, qua một bên, riêng ra, xa ra temp_pronunciation   temp_word_example
91    appeal               temp_word_type  sự kêu gọi; lời kêu gọi                  temp_pronunciation   temp_word_example
92    appetite             temp_word_type  sự ngon miệng, sự thèm ăn                temp_pronunciation   temp_word_example
93    apply                temp_word_type  gắn vào, áp vào, ghép vào, đính vào      temp_pronunciation   temp_word_example
94    appointment          temp_word_type  sự bổ nhiệm, chức vụ được bổ nhiệm       temp_pronunciation   temp_word_example
95    appreciate           temp_word_type  đánh giá, cảm kích                       temp_pronunciation   temp_word_example
96    appreciation         temp_word_type  sự đánh giá cao, sự cảm kích             temp_pronunciation   temp_word_example
97    approach             temp_word_type  sự đến gần, sự lại gần                   temp_pronunciation   temp_word_example
98    appropriate          temp_word_type  thích hợp, thích đáng                    temp_pronunciation   temp_word_example
99    approval             temp_word_type  sự tán thành, sự đồng ý, sự chấp thuận   temp_pronunciation   temp_word_example
100   approve              temp_word_type  tán thành, chấp thuận, bằng lòng         temp_pronunciation   temp_word_example
101   area                 temp_word_type  diện tích, khu vực, lĩnh vực             temp_pronunciation   temp_word_example
102   argue                temp_word_type  chứng tỏ, chỉ rõ                         temp_pronunciation   temp_word_example
103   arrive               temp_word_type  đến nơi, đạt tới                         temp_pronunciation   temp_word_example
104   arrogant             temp_word_type  kiêu ngạo, kiêu căng, ngạo mạn           temp_pronunciation   temp_word_example
105   article              temp_word_type  bài báo                                  temp_pronunciation   temp_word_example
106   ashamed              temp_word_type  xấu hổ, ngượng ngùng                     temp_pronunciation   temp_word_example
107   aside                temp_word_type  về một bên, sang một bên                 temp_pronunciation   temp_word_example
108   ask                  temp_word_type  hỏi, yêu cầu                             temp_pronunciation   temp_word_example
109   aspirin              temp_word_type  (dược học) atpirin                       temp_pronunciation   temp_word_example
110   aspiring             temp_word_type  thiết tha, mong mỏi, khao khát           temp_pronunciation   temp_word_example
111   assault              temp_word_type  cuộc tấn công, đột kích; tấn công, công kích temp_pronunciation   temp_word_example
112   assembly             temp_word_type  cuộc họp, dây chuyền                     temp_pronunciation   temp_word_example
113   assertive            temp_word_type  quả quyết, quyết đoán                    temp_pronunciation   temp_word_example
114   assess               temp_word_type  định giá, đánh giá                       temp_pronunciation   temp_word_example
115   asset                temp_word_type  tài sản, món quý                         temp_pronunciation   temp_word_example
116   assist               temp_word_type  giúp, giúp đỡ                            temp_pronunciation   temp_word_example
117   associate            temp_word_type  kết giao, kết hợp                        temp_pronunciation   temp_word_example
118   assume               temp_word_type  mang, khoác, có, lấy                     temp_pronunciation   temp_word_example
119   assure               temp_word_type  quả quyết, cam đoan                      temp_pronunciation   temp_word_example
120   astonishing          temp_word_type  gây bất ngờ, làm ngạc nhiên              temp_pronunciation   temp_word_example
121   atrocious            temp_word_type  hung bạo, tàn ác, tồi tệ                 temp_pronunciation   temp_word_example
122   attack               temp_word_type  sự tấn công, tấn công                    temp_pronunciation   temp_word_example
123   attempt              temp_word_type  sự cố gắng, sự thử                       temp_pronunciation   temp_word_example
124   attend               temp_word_type  dự, có mặt                               temp_pronunciation   temp_word_example
125   attire               temp_word_type  quần áo, đồ trang điểm; mặc quần áo      temp_pronunciation   temp_word_example
126   attitude             temp_word_type  thái độ, quan điểm                       temp_pronunciation   temp_word_example
127   attorney             temp_word_type  người được ủy quyền đại diện             temp_pronunciation   temp_word_example
128   attract              temp_word_type  thu hút, hấp dẫn                         temp_pronunciation   temp_word_example
129   attractive           temp_word_type  hút, thu hút, hấp dẫn                    temp_pronunciation   temp_word_example
130   auction              temp_word_type  sự bán đấu giá                           temp_pronunciation   temp_word_example
131   audacious            temp_word_type  trơ tráo, táo bạo                        temp_pronunciation   temp_word_example
132   audience             temp_word_type  người nghe, thính giả, người xem, khán giả temp_pronunciation   temp_word_example
133   authentic            temp_word_type  đích thực, xác thực                      temp_pronunciation   temp_word_example
134   authority            temp_word_type  uy quyền, quyền lực, quyền thế           temp_pronunciation   temp_word_example
135   available            temp_word_type  sẵn có, có thể dùng được                 temp_pronunciation   temp_word_example
136   avenge               temp_word_type  trả thù, báo thù                         temp_pronunciation   temp_word_example
137   avoid                temp_word_type  tránh, tránh xa, ngăn ngừa               temp_pronunciation   temp_word_example
138   aware                temp_word_type  biết, nhận thấy, nhận thức thấy          temp_pronunciation   temp_word_example
139   away                 temp_word_type  rời xa, đi xa, biến đi                   temp_pronunciation   temp_word_example
140   awful                temp_word_type  đáng sợ, khủng khiếp; cực kỳ             temp_pronunciation   temp_word_example
141   awkward              temp_word_type  vụng về, lúng túng, ngượng ngịu          temp_pronunciation   temp_word_example
142   baby                 temp_word_type  đứa trẻ                                  temp_pronunciation   temp_word_example
143   bachelor             temp_word_type  người chưa vợ, người có bằng cử nhân     temp_pronunciation   temp_word_example
144   backward             temp_word_type  về phía sau, giật lùi                    temp_pronunciation   temp_word_example
145   bacon                temp_word_type  thịt lưng lợn muối xông khói             temp_pronunciation   temp_word_example
146   badge                temp_word_type  huy hiệu, phù hiệu; quân hàm             temp_pronunciation   temp_word_example
147   baggage              temp_word_type  hành lý                                  temp_pronunciation   temp_word_example
148   bait                 temp_word_type  mồi, bả                                  temp_pronunciation   temp_word_example
149   bake                 temp_word_type  bỏ lò, nướng bằng lò                     temp_pronunciation   temp_word_example
150   balance              temp_word_type  cái cân, sự thăng bằng                   temp_pronunciation   temp_word_example
151   balcony              temp_word_type  ban công                                 temp_pronunciation   temp_word_example
152   bald                 temp_word_type  hói đầu, trọc trụi                       temp_pronunciation   temp_word_example
153   ballet               temp_word_type  ba lê, kịch múa                          temp_pronunciation   temp_word_example
154   band                 temp_word_type  dải, băng, đai, nẹp, buộc dải, buộc băng temp_pronunciation   temp_word_example
155   bane                 temp_word_type  nguyên do, nỗi khổ                       temp_pronunciation   temp_word_example
156   bang                 temp_word_type  tóc mái, đánh mạnh, đánh đập             temp_pronunciation   temp_word_example
157   banner               temp_word_type  ngọn cờ                                  temp_pronunciation   temp_word_example
158   bar                  temp_word_type  quầy bán rượu                            temp_pronunciation   temp_word_example
159   barbecue             temp_word_type  lợn (bò, cừu) nướng (quay) cả con        temp_pronunciation   temp_word_example
160   bare                 temp_word_type  trần, trần truồng, trọc, trần trụi       temp_pronunciation   temp_word_example
161   barely               temp_word_type  công khai, rõ ràng                       temp_pronunciation   temp_word_example
162   bargain              temp_word_type  sự mặc cả, sự thoả thuận mua bán         temp_pronunciation   temp_word_example
163   barn                 temp_word_type  kho thóc                                 temp_pronunciation   temp_word_example
164   barrel               temp_word_type  thùng tròn, lớn, thường được làm bằng gỗ hoặc kim loại temp_pronunciation   temp_word_example
165   baseball             temp_word_type  (thể dục,thể thao) bóng chày             temp_pronunciation   temp_word_example
166   basement             temp_word_type  nền móng, móng (của một bức tường...)    temp_pronunciation   temp_word_example
167   bashful              temp_word_type  rụt rè, bẽn lẽn                          temp_pronunciation   temp_word_example
168   battery              temp_word_type  bộ pin, ắc quy                           temp_pronunciation   temp_word_example
169   bay                  temp_word_type  hồng, vịnh                               temp_pronunciation   temp_word_example
170   beam                 temp_word_type  xà, dầm                                  temp_pronunciation   temp_word_example
171   bear                 temp_word_type  mang, cầm, vác, đội, đeo, ôm, chịu đựng  temp_pronunciation   temp_word_example
172   bearing              temp_word_type  sự chịu đựng, sự sinh đẻ                 temp_pronunciation   temp_word_example
173   beat                 temp_word_type  sự đập, tiếng đập                        temp_pronunciation   temp_word_example
174   beaten               temp_word_type  đập, nện (nền đường...)                  temp_pronunciation   temp_word_example
175   beautiful            temp_word_type  xinh đẹp, tuyệt vời                      temp_pronunciation   temp_word_example
176   beg                  temp_word_type  ăn xin, xin xỏ, cầu xin                  temp_pronunciation   temp_word_example
177   begin                temp_word_type  bắt đầu, khởi đầu                        temp_pronunciation   temp_word_example
178   beginning            temp_word_type  lúc bắt đầu, căn nguyên                  temp_pronunciation   temp_word_example
179   behalf               temp_word_type  thay mặt cho ai đó                       temp_pronunciation   temp_word_example
180   behave               temp_word_type  ăn ở, đối xử, cư xử                      temp_pronunciation   temp_word_example
181   behoove              temp_word_type  có nhiệm vụ                              temp_pronunciation   temp_word_example
182   believe              temp_word_type  tin tưởng, cho rằng, nghĩ rằng           temp_pronunciation   temp_word_example
183   belly                temp_word_type  bụng; dạ dày, phồng ra (cánh buồm...)    temp_pronunciation   temp_word_example
184   beloved              temp_word_type  được yêu mến, được yêu quý, người yêu dấu, người yêu quý temp_pronunciation   temp_word_example
185   below                temp_word_type  ở dưới, cấp dưới, thấp hơn               temp_pronunciation   temp_word_example
186   bend                 temp_word_type  chỗ uốn, chỗ cong, cúi xuống, uốn cong   temp_pronunciation   temp_word_example
187   beneficial           temp_word_type  có ích, có lợi                           temp_pronunciation   temp_word_example
188   benefit              temp_word_type  lợi, lợi ích                             temp_pronunciation   temp_word_example
189   benevolent           temp_word_type  nhân từ, từ thiện                        temp_pronunciation   temp_word_example
190   bent                 temp_word_type  khiếu, sở thích; xu hướng, khuynh hướng  temp_pronunciation   temp_word_example
191   berserk              temp_word_type  nổi quạu, cáu tiết                       temp_pronunciation   temp_word_example
192   bet                  temp_word_type  đánh cược, sự đánh cược                  temp_pronunciation   temp_word_example
193   betray               temp_word_type  phản bội; phụ bạc, tiết lộ, để lộ        temp_pronunciation   temp_word_example
194   bias                 temp_word_type  thành kiến, sự thiên vị; hướng (ý kiến), gây thành kiến temp_pronunciation   temp_word_example
195   bid                  temp_word_type  sự đặt giá, trả giá                      temp_pronunciation   temp_word_example
196   big                  temp_word_type  to lớn                                   temp_pronunciation   temp_word_example
197   big-hearted          temp_word_type  rộng lượng, hào hiệp                     temp_pronunciation   temp_word_example
198   bigoted              temp_word_type  mù quáng                                 temp_pronunciation   temp_word_example
199   birth                temp_word_type  sự sinh đẻ, ra đời ngày thành lập        temp_pronunciation   temp_word_example
200   bite                 temp_word_type  cắn, sự cắn, miếng cắn                   temp_pronunciation   temp_word_example
201   bizarre              temp_word_type  kỳ quái, kỳ dị                           temp_pronunciation   temp_word_example
202   blameless            temp_word_type  không thể chê được                       temp_pronunciation   temp_word_example
203   blank                temp_word_type  chỗ trống; để trống, trống rỗng, bần thần temp_pronunciation   temp_word_example
204   blanket bath         temp_word_type  việc lau rửa cho người ốm liệt           temp_pronunciation   temp_word_example
205   blasé                temp_word_type  dửng dưng, quá quen rồi                  temp_pronunciation   temp_word_example
206   blend                temp_word_type  hỗn hợp; trộn lẫn, pha trộn              temp_pronunciation   temp_word_example
207   blossom              temp_word_type  hoa; ra hoa, trổ hoa                     temp_pronunciation   temp_word_example
208   blot                 temp_word_type  vết nhơ, vết nhục; bôi nhọ, làm bẩn      temp_pronunciation   temp_word_example
209   blunder              temp_word_type  điều sai lầm, điều ngớ ngẩn mắc lỗi ngớ ngẩn temp_pronunciation   temp_word_example
210   boat                 temp_word_type  tàu thủy, thuyền                         temp_pronunciation   temp_word_example
211   bold                 temp_word_type  táo bạo, gan dạ                          temp_pronunciation   temp_word_example
212   bottom               temp_word_type  phần đáy, dưới cùng                      temp_pronunciation   temp_word_example
213   brave                temp_word_type  gan dạ, dũng cảm; bất chấp, đương đầu với temp_pronunciation   temp_word_example
214   bravery              temp_word_type  tính gan dạ, sự dũng cảm                 temp_pronunciation   temp_word_example
215   bread and butter     temp_word_type  miếng ăn, kế sinh nhai                   temp_pronunciation   temp_word_example
216   break                temp_word_type  chỗ vỡ, sự rạn vỡ; làm gãy, làm đổ vỡ; ngắt, gián đoạn temp_pronunciation   temp_word_example
217   brief                temp_word_type  ngắn, vắn tắt; bản tóm tắt               temp_pronunciation   temp_word_example
218   broad                temp_word_type  rộng, bao la, mênh mông                  temp_pronunciation   temp_word_example
219   bumpy                temp_word_type  gập ghềnh, mấp mô                        temp_pronunciation   temp_word_example
220   bungalow             temp_word_type  nhà một tầng                             temp_pronunciation   temp_word_example
221   calamity             temp_word_type  tai họa, thiên tai, tai ương             temp_pronunciation   temp_word_example
222   calendar             temp_word_type  lịch                                     temp_pronunciation   temp_word_example
223   calm                 temp_word_type  bình tĩnh, điềm đạm                      temp_pronunciation   temp_word_example
224   candid               temp_word_type  thật thà, ngay thẳng, không xếp đặt      temp_pronunciation   temp_word_example
225   carriage             temp_word_type  xe ngựa, sự chuyên chở hàng hóa          temp_pronunciation   temp_word_example
226   casual               temp_word_type  tự nhiên, như thường lệ, bình thường; quần áo bình thường, không trang trọng temp_pronunciation   temp_word_example
227   cease                temp_word_type  thôi, ngừng                              temp_pronunciation   temp_word_example
228   center               temp_word_type  trung tâm; đặt làm trung tâm             temp_pronunciation   temp_word_example
229   certain              temp_word_type  chắc chắn                                temp_pronunciation   temp_word_example
230   change               temp_word_type  sự thay đổi, biến đổi; thay đổi          temp_pronunciation   temp_word_example
231   chaos                temp_word_type  sự hỗn loạn, lộn xộn                     temp_pronunciation   temp_word_example
232   charismatic          temp_word_type  có sức hút, lôi cuốn                     temp_pronunciation   temp_word_example
233   chatterbox           temp_word_type  người ba hoa, nói nhiều                  temp_pronunciation   temp_word_example
234   chiefly              temp_word_type  chủ yếu là, trước nhất                   temp_pronunciation   temp_word_example
235   chilly               temp_word_type  lạnh lẽo, giá lạnh                       temp_pronunciation   temp_word_example
236   chocolate            temp_word_type  sô cô la                                 temp_pronunciation   temp_word_example
237   choice               temp_word_type  lựa chọn, sự chọn lựa; chất lượng tốt    temp_pronunciation   temp_word_example
238   choosy               temp_word_type  khó chiều, kén chọn                      temp_pronunciation   temp_word_example
239   chubby               temp_word_type  mũm mĩm, mập mạp                         temp_pronunciation   temp_word_example
240   circuit              temp_word_type  chu vi, đường vòng quanh đi vòng quanh   temp_pronunciation   temp_word_example
241   civil                temp_word_type  (thuộc) công dân lễ phép, lịch sự        temp_pronunciation   temp_word_example
242   clarify              temp_word_type  làm sáng tỏ, giải thích                  temp_pronunciation   temp_word_example
243   close                temp_word_type  đóng kín, đóng cửa gần sát               temp_pronunciation   temp_word_example
244   coarse               temp_word_type  thô (da, vải...)                         temp_pronunciation   temp_word_example
245   collect              temp_word_type  tập hợp, thu lượm, thu thập              temp_pronunciation   temp_word_example
246   collision            temp_word_type  sự va đụng, xung đột                     temp_pronunciation   temp_word_example
247   colossal             temp_word_type  khổng lồ, to lớn                         temp_pronunciation   temp_word_example
248   combative            temp_word_type  hiếu chiến, thích gây gổ                 temp_pronunciation   temp_word_example
249   combine              temp_word_type  kết hợp, phối hợp                        temp_pronunciation   temp_word_example
250   comical              temp_word_type  hài hước, khôi hài                       temp_pronunciation   temp_word_example
251   commence             temp_word_type  khởi đầu, bắt đầu                        temp_pronunciation   temp_word_example
252   comment              temp_word_type  lời bình luận; bình luận, chỉ trích      temp_pronunciation   temp_word_example
253   commerce             temp_word_type  sự buôn bán, giao thương, thương nghiệp  temp_pronunciation   temp_word_example
254   commotion            temp_word_type  sự rung chuyển, chấn động                temp_pronunciation   temp_word_example
255   compassion           temp_word_type  lòng thương cảm, lòng trắc ẩn            temp_pronunciation   temp_word_example
256   complex              temp_word_type  khu phức hợp; phức tạp, rắc rối          temp_pronunciation   temp_word_example
257   complicated          temp_word_type  phức tạp, tinh vi                        temp_pronunciation   temp_word_example
258   compliment           temp_word_type  lời khen; khen ngợi, ca tụng             temp_pronunciation   temp_word_example
259   comply               temp_word_type  tuân theo, đồng ý làm theo               temp_pronunciation   temp_word_example
260   compress             temp_word_type  ép, nén, đè                              temp_pronunciation   temp_word_example
261   compulsion           temp_word_type  sự cưỡng bức, ép buộc                    temp_pronunciation   temp_word_example
262   concise              temp_word_type  ngắn gọn, súc tích (văn)                 temp_pronunciation   temp_word_example
263   confess              temp_word_type  thú tội, nhận tội                        temp_pronunciation   temp_word_example
264   confine              temp_word_type  giam giữ, nhốt giữ lại                   temp_pronunciation   temp_word_example
265   conflict             temp_word_type  sự xung đột, cuộc va chạm; mâu thuẫn, chống đối temp_pronunciation   temp_word_example
266   conform              temp_word_type  thích ứng với, thích nghi                temp_pronunciation   temp_word_example
267   confuse              temp_word_type  nhầm lẫn, gây khó hiểu                   temp_pronunciation   temp_word_example
268   congested            temp_word_type  đông nghịt, chật ních                    temp_pronunciation   temp_word_example
269   connect              temp_word_type  nối lại, kết nối                         temp_pronunciation   temp_word_example
270   conquer              temp_word_type  đoạt, xâm chiếm, chinh phục              temp_pronunciation   temp_word_example
271   consent              temp_word_type  sự đồng tình, ưng thuận                  temp_pronunciation   temp_word_example
272   considerate          temp_word_type  ân cần, chu đáo                          temp_pronunciation   temp_word_example
273   constraint           temp_word_type  sự bắt ép, cưỡng ép, sự đè nén           temp_pronunciation   temp_word_example
274   contaminate          temp_word_type  làm bẩn, gây ô nhiễm, làm hư hỏng        temp_pronunciation   temp_word_example
275   contemporary         temp_word_type  đương thời, đương đại; người cùng thời   temp_pronunciation   temp_word_example
276   contrary             temp_word_type  trái ngược                               temp_pronunciation   temp_word_example
277   control              temp_word_type  quyền hành, sự điều khiển; kiểm soát, kiềm chế temp_pronunciation   temp_word_example
278   convert              temp_word_type  người cải đạo; đổi, biến đổi             temp_pronunciation   temp_word_example
279   cordial              temp_word_type  thân mật, chân thành                     temp_pronunciation   temp_word_example
280   correct              temp_word_type  sửa, hiệu chỉnh; đúng, chính xác         temp_pronunciation   temp_word_example
281   couch potato         temp_word_type  người nghiện xem tv                      temp_pronunciation   temp_word_example
282   counsel              temp_word_type  sự bàn bạc, lời khuyên, lời chỉ bảo; khuyên răn, khuyên bảo temp_pronunciation   temp_word_example
283   courage              temp_word_type  sự can đảm, dũng khí                     temp_pronunciation   temp_word_example
284   courteous            temp_word_type  lịch sự, nhã nhặn                        temp_pronunciation   temp_word_example
285   coy                  temp_word_type  bẽn lẽn, xấu hổ, rụt rè                  temp_pronunciation   temp_word_example
286   crafty               temp_word_type  láu cá, xảo quyệt                        temp_pronunciation   temp_word_example
287   cram                 temp_word_type  sự nhồi sọ, nhồi nhét; tống vào, luyện thi temp_pronunciation   temp_word_example
288   cranky               temp_word_type  kỳ quặc, gàn dở                          temp_pronunciation   temp_word_example
289   crazy                temp_word_type  điên rồ, mất trí                         temp_pronunciation   temp_word_example
290   creation             temp_word_type  sự tạo thành, hình thành tác phẩm        temp_pronunciation   temp_word_example
291   creative             temp_word_type  sáng tạo                                 temp_pronunciation   temp_word_example
292   creativity           temp_word_type  óc sáng tạo, sự sáng tạo                 temp_pronunciation   temp_word_example
293   cruel                temp_word_type  độc ác, tàn bạo, tàn nhẫn                temp_pronunciation   temp_word_example
294   crumble              temp_word_type  vỡ vụn, đổ nát; bẻ vụn, đập vụn          temp_pronunciation   temp_word_example
295   cunning              temp_word_type  xảo quyệt, láu cá                        temp_pronunciation   temp_word_example
296   cupboard             temp_word_type  tủ đựng                                  temp_pronunciation   temp_word_example
297   curb                 temp_word_type  sự kiềm chế, sự nén lại; kìm hãm, hạn chế temp_pronunciation   temp_word_example
298   curse                temp_word_type  sự nguyền rủa, chửi rủa; nguyền rủa, báng bổ temp_pronunciation   temp_word_example
299   daft                 temp_word_type  ngớ ngẩn, mất trí, gàn dở                temp_pronunciation   temp_word_example
300   daily                temp_word_type  hằng ngày                                temp_pronunciation   temp_word_example
301   dainty               temp_word_type  nhã nhặn, xinh xắn, dễ thương            temp_pronunciation   temp_word_example
302   daring               temp_word_type  táo bạo, mạnh bạo                        temp_pronunciation   temp_word_example
303   dash                 temp_word_type  sự va đụng, va chạm                      temp_pronunciation   temp_word_example
304   dated                temp_word_type  lỗi thời, cũ kỹ                          temp_pronunciation   temp_word_example
305   dawn                 temp_word_type  bình minh, rạng đông, bắt đầu rạng; lóe lên trong tâm trí temp_pronunciation   temp_word_example
306   daybreak             temp_word_type  lúc tảng sáng, rạng đông                 temp_pronunciation   temp_word_example
